NewTest,Mattest,bachelor-VirtualBox(127.0.1.1)
163,33.1480140686,5569.87949181
164,33.6710848808,5604.01605392
165,33.8452579975,5638.33992887
166,33.9913301468,5672.63663101
167,33.4203901291,5706.46544695
168,33.4250438213,5740.32218981
169,33.5249509811,5774.44968295
170,33.867098093,5808.41224599
171,33.4628369808,5841.94196296
172,33.9763679504,5876.36753678
173,33.6475358009,5910.17959094
174,33.751734972,5944.13116479
175,33.230853796,5977.58958197
176,33.2296528816,6011.23118496
177,33.5986070633,6045.16366291
178,32.9523098469,6078.63719797
179,33.3277158737,6112.66300488
180,33.1750278473,6146.26172781
181,33.5401749611,6180.24120879
182,33.3611249924,6213.79321289
183,33.2514669895,6247.66072178
184,33.7876610756,6281.77148199
185,32.9851911068,6314.92048788
186,33.9956588745,6349.9110589
187,33.3692390919,6383.66399693
188,32.9458959103,6416.93565989
189,34.4022049904,6452.16264892
190,33.3927180767,6485.58833694
191,33.2480449677,6519.1902318
192,33.4600698948,6553.05879092
193,33.1435050964,6586.75424385
194,33.32351017,6620.95180488
195,33.4672279358,6655.12831283
196,32.9565341473,6688.34273291
197,33.9387419224,6723.28956199
198,33.1293241978,6756.89050794
199,34.0719730854,6791.5073359
200,34.1838841438,6826.16511583
201,33.8529400826,6860.02812481
202,33.9233150482,6894.094877
203,33.8791699409,6928.06378794
204,32.7860729694,6961.40025282
205,33.2059969902,6996.09713697
206,33.5243229866,7030.32356286
207,32.883368969,7063.71364594
208,33.5963699818,7098.17925286
209,34.1380019188,7132.85601783
210,33.172565937,7166.3477459
211,33.1375260353,7200.10989094
212,33.6476700306,7234.41289091
213,34.2367398739,7268.97790885
214,33.9034159184,7303.03855491
215,33.4525330067,7336.9745059
216,33.8879129887,7371.59311581
217,33.945554018,7406.05130696
218,34.2422788143,7440.8631289
219,33.4569818974,7474.33226395
220,33.2321069241,7507.90882993
221,33.9701099396,7542.12714791
222,33.408372879,7575.69979596
223,34.2622408867,7611.29108191
224,33.1446871758,7644.56283283
225,33.0964138508,7678.57746983
226,34.2711088657,7713.56315589
227,34.005012989,7748.00625181
228,33.8541791439,7782.36110091
229,34.0705878735,7816.61989188
230,33.3164520264,7850.38323689
231,32.8960618973,7883.59807587
232,33.0462200642,7917.78844094
233,33.0863871574,7952.33993101
234,33.7173731327,7987.00567794
235,33.7276821136,8020.91252589
236,33.3474199772,8054.8256619
237,32.9904959202,8088.64871001
238,33.8182651997,8123.51517987
239,32.5595550537,8156.61957192
240,32.98656106,8191.21780181
241,33.1650030613,8225.32684779
242,33.5805521011,8259.88766885
243,33.4109489918,8293.92526484
244,33.5294818878,8328.23989296
245,33.4279780388,8362.21302199
246,33.747246027,8396.69237494
247,32.9249918461,8429.78800678
248,35.0013709068,8466.09363294
249,34.1023750305,8500.52541184
250,33.3390328884,8534.09330082
251,33.8010640144,8568.48600888
252,33.7601430416,8602.26754379
253,33.9144160748,8637.00100684
254,33.3792891502,8670.61447287
255,32.8454179764,8704.33205485
256,33.0694830418,8738.1883328
257,34.1707701683,8773.44279099
258,34.1611528397,8807.70792389
259,32.8432488441,8840.71730685
260,34.1873059273,8876.41282797
261,34.1197869778,8910.55871487
262,33.4334959984,8944.1628058
263,34.1273880005,8978.52207994
264,34.2443449497,9013.27915597
265,32.9348220825,9046.21590996
266,34.3093440533,9081.30747795
267,33.6475460529,9115.26083684
268,34.0916719437,9149.75752997
269,33.0589609146,9182.96744299
270,33.4911680222,9217.18518996
271,33.5959489346,9251.290766
272,33.4073591232,9285.17449594
273,33.315321207,9318.93257284
274,33.4422519207,9352.75349689
275,33.2989239693,9386.3607688
276,32.573759079,9419.36510897
277,33.1868999004,9453.40833688
278,33.2255821228,9487.20703697
279,33.0704109669,9520.79287291
280,32.9309849739,9554.2056818
281,33.2522161007,9588.29700089
282,33.7334349155,9622.27848601
283,33.6925899982,9656.09401894
