NewTest,SeekIndex,bachelor4-VirtualBox
61,0.644506931305,1320062573.95
62,0.291768789291,1320062574.61
63,0.762201786041,1320062574.94
64,0.739285945892,1320062575.72
65,0.555290222168,1320062576.46
66,0.537742137909,1320062577.03
67,0.433754920959,1320062577.59
68,0.451517105103,1320062578.28
69,0.75771188736,1320062578.74
70,0.703669071198,1320062579.54
71,0.622850894928,1320062580.27
72,0.954810857773,1320062581.0
73,0.236799955368,1320062581.97
74,0.981423139572,1320062582.74
75,0.443259954453,1320062583.78
76,0.833923101425,1320062584.23
77,0.891249895096,1320062585.08
78,0.623182058334,1320062586.0
79,0.524868011475,1320062586.65
80,0.540238857269,1320062587.18
81,0.811045885086,1320062587.72
82,0.278423070908,1320062588.55
83,0.727838993073,1320062588.86
84,0.345517158508,1320062589.62
85,0.312956094742,1320062589.98
86,0.992208957672,1320062590.39
87,0.168405056,1320062591.7
88,0.578618049622,1320062592.31
89,0.797036886215,1320062592.91
90,0.383248806,1320062593.72
91,0.249984025955,1320062594.14
92,0.557502985001,1320062594.54
93,0.40659403801,1320062595.11
94,1.49371910095,1320062595.54
95,0.676921129227,1320062597.05
96,0.851063966751,1320062597.8
97,0.430110931396,1320062598.66
98,0.417006969452,1320062599.12
99,0.569574117661,1320062599.58
100,0.603184938431,1320062600.17
101,0.969995975494,1320062600.78
102,0.59000992775,1320062601.82
103,0.283869028091,1320062602.43
104,0.498001098633,1320062602.84
105,0.847482919693,1320062603.35
106,0.439435958862,1320062604.24
107,0.682841062546,1320062604.77
108,0.64518404007,1320062605.46
109,1.01916503906,1320062606.12
110,0.615541934967,1320062607.15
111,0.515007019043,1320062607.77
112,0.70875120163,1320062608.31
113,0.449041843414,1320062609.17
114,0.436142921448,1320062609.63
115,0.579622030258,1320062610.07
116,0.556691884995,1320062610.69
117,0.996233940125,1320062611.26
118,0.634659051895,1320062612.3
119,0.868702888489,1320062612.98
120,0.30538892746,1320062613.89
121,0.561995983124,1320062614.36
122,0.609142780304,1320062614.94
123,0.60199213028,1320062615.56
124,1.15313220024,1320062616.18
125,0.675058841705,1320062617.33
126,0.459408998489,1320062618.02
127,0.631494045258,1320062618.89
128,0.511780023575,1320062619.55
129,0.659048080444,1320062620.08
130,0.435100078583,1320062620.79
131,0.813358068466,1320062621.24
132,0.711207866669,1320062622.07
133,0.505931138992,1320062622.79
134,0.916136980057,1320062623.39
135,0.532651185989,1320062624.33
136,0.540887832642,1320062624.89
137,0.404527902603,1320062625.44
138,0.640711069107,1320062625.85
139,0.664434909821,1320062626.52
140,0.86948800087,1320062627.19
141,0.685218095779,1320062628.1
142,0.753419160843,1320062628.83
143,0.585392951965,1320062629.66
144,0.465043783188,1320062630.26
145,0.51146697998,1320062630.75
146,0.934556007385,1320062631.28
147,0.859038114548,1320062632.25
148,0.477499008179,1320062633.13
149,0.734492063522,1320062633.62
150,0.410396814346,1320062634.38
151,0.924165010452,1320062635.12
152,0.675906896591,1320062636.06
153,0.117742061615,1320062636.81
154,0.546406984329,1320062637.41
155,0.271057844162,1320062637.98
156,0.412619829178,1320062638.35
157,0.804673194885,1320062638.77
158,0.232767105103,1320062639.63
159,0.382879972458,1320062639.98
160,0.647023916245,1320062640.4
161,0.840808868408,1320062641.08
162,0.864767074585,1320062641.98
163,0.370797872543,1320062642.86
164,0.0914270877838,1320062643.37
165,0.754161834717,1320062643.68
166,0.500576019287,1320062644.46
167,0.652617931366,1320062645.04
168,0.565338850021,1320062645.71
169,0.768874168396,1320062646.31
170,0.780850887299,1320062647.09
171,0.442000865936,1320062647.89
172,1.12583589554,1320062648.37
173,0.734009981155,1320062649.55
174,0.596326112747,1320062650.55
175,0.496716976166,1320062651.74
176,0.282011032104,1320062652.36
177,0.585716962814,1320062652.87
178,0.47595500946,1320062653.47
179,0.711812973022,1320062653.95
180,0.456893205643,1320062654.68
181,0.4674680233,1320062655.15
182,0.59393286705,1320062655.63
183,0.755459785461,1320062656.26
184,0.593185186386,1320062657.05
185,0.675498008728,1320062657.65
186,0.397690057755,1320062658.35
187,0.842576980591,1320062658.76
188,0.470021009445,1320062659.62
189,0.341625928879,1320062660.11
190,0.612248897552,1320062660.63
191,0.902199983597,1320062661.27
192,0.704432010651,1320062662.19
193,0.660230875015,1320062662.94
194,0.738723039627,1320062663.62
195,0.665452003479,1320062664.37
196,0.62620306015,1320062665.07
197,0.501005172729,1320062665.71
198,0.830579042435,1320062666.22
199,0.914036035538,1320062667.05
200,0.491781949997,1320062668.01
201,0.354682922363,1320062668.54
202,0.70090007782,1320062668.91
203,0.709141969681,1320062669.62
204,0.542976856232,1320062670.43
205,0.766937971115,1320062670.98
206,0.581393003464,1320062671.77
207,0.719475030899,1320062672.36
208,0.53022813797,1320062673.1
209,0.444061994553,1320062673.64
210,0.548047065735,1320062674.11
211,0.880728006363,1320062674.69
212,0.558530092239,1320062675.59
213,0.611027002335,1320062676.18
214,0.933773994446,1320062676.81
215,0.807229042053,1320062677.75
216,0.366353988647,1320062678.57
217,0.561143875122,1320062679.0
218,0.190108060837,1320062679.56
219,0.880440950394,1320062679.81
220,0.374154090881,1320062680.7
221,0.43802189827,1320062681.09
222,0.841001033783,1320062681.54
223,0.928035020828,1320062682.42
224,0.508600950241,1320062683.35
225,0.580111026764,1320062683.88
226,0.418500900269,1320062684.48
227,0.985513925552,1320062684.92
228,0.345943927765,1320062685.93
229,0.605650186539,1320062686.41
230,0.843454122543,1320062687.02
