NewTest,TCP,bachelor-VirtualBox(127.0.1.1)
172,0.0829038619995,1314251246.84
173,0.0838708877563,1314251246.92
174,0.0801589488983,1314251247.01
175,0.0899910926819,1314251247.09
176,0.0755469799042,1314251247.18
177,0.0860989093781,1314251247.25
178,0.0831940174103,1314251247.34
179,0.0810258388519,1314251247.42
180,0.0823581218719,1314251247.5
181,0.0804080963135,1314251247.59
182,0.0865108966827,1314251247.67
183,0.0796010494232,1314251247.75
184,0.0819170475006,1314251247.83
185,0.0900030136108,1314251247.92
186,0.0722100734711,1314251248.01
187,0.107911109924,1314251248.08
188,0.0761139392853,1314251248.19
189,0.0857241153717,1314251248.26
190,0.0955929756165,1314251248.35
191,0.0810182094574,1314251248.44
192,0.0862131118774,1314251248.53
193,0.146826982498,1314251248.61
194,0.0847220420837,1314251248.76
195,0.0836718082428,1314251248.84
196,0.111384868622,1314251248.93
197,0.144176006317,1314251249.04
198,0.0942680835724,1314251249.18
199,0.081531047821,1314251249.28
200,0.0836040973663,1314251249.36
201,0.0803678035736,1314251249.44
202,0.0855700969696,1314251249.52
203,0.0712199211121,1314251249.61
204,0.0775809288025,1314251249.68
205,0.0920519828796,1314251249.76
206,0.0775699615479,1314251249.85
207,0.0809700489044,1314251249.93
208,0.0822849273682,1314251250.01
209,0.0894448757172,1314251250.09
210,0.0774910449982,1314251250.18
211,0.0841469764709,1314251250.26
212,0.067232131958,1314251250.34
213,0.0866889953613,1314251250.41
214,0.0758399963379,1314251250.5
215,0.0935487747192,1314251250.57
216,0.0860710144043,1314251250.67
217,0.0795578956604,1314251250.75
218,0.0855579376221,1314251250.83
219,0.0787861347198,1314251250.92
220,0.0969429016113,1314251251.0
221,0.0889899730682,1314251251.1
222,0.0941009521484,1314251251.19
223,0.0884630680084,1314251251.28
224,0.0737879276276,1314251251.37
225,0.0761530399323,1314251251.44
226,0.0934159755707,1314251251.52
227,0.0772030353546,1314251251.61
228,0.073303937912,1314251251.69
229,0.0853381156921,1314251251.76
230,0.0873649120331,1314251251.85
231,0.0822269916534,1314251251.94
232,0.0710978507996,1314251252.02
233,0.0826139450073,1314251252.09
234,0.0813179016113,1314251252.17
235,0.0847339630127,1314251252.26
236,0.0814650058746,1314251252.34
237,0.0871648788452,1314251252.42
238,0.080598115921,1314251252.51
