NewTest,I-O,bachelor-VirtualBox(127.0.1.1)
63,18.5257818699,1314194425.53
64,18.0992031097,1314194444.06
65,12.5152549744,1314194462.17
66,7.9185359478,1314194482.99
67,23.9537949562,1314194503.19
68,17.3004100323,1314194528.44
69,14.8945090771,1314194545.75
70,17.449837923,1314194560.67
71,6.68832492828,1314194581.83
72,18.4579520226,1314194604.07
73,7.74920392036,1314194628.07
74,19.0310649872,1314194649.89
75,7.57997703552,1314194677.34
76,18.7269201279,1314194700.82
77,17.8660368919,1314194722.33
78,11.2360610962,1314194742.51
79,7.93931889534,1314194762.25
80,23.5185158253,1314194779.81
81,19.7473518848,1314194803.34
82,5.66794991493,1314194823.09
83,20.7710700035,1314194843.0
84,18.2334611416,1314194863.79
85,22.4538140297,1314194882.04
86,21.1073029041,1314194904.5
87,13.5569498539,1314194925.62
88,4.77600193024,1314194941.53
89,18.3150119781,1314194959.08
90,11.6125719547,1314194985.72
91,13.9524390697,1314195005.52
92,18.8683898449,1314195026.59
93,20.280518055,1314195049.33
94,14.5703117847,1314195071.58
95,1.95109987259,1314195092.45
96,21.3122861385,1314195111.3
97,20.1971549988,1314195136.55
98,13.2347831726,1314195156.75
99,2.85784101486,1314195176.21
100,16.8496589661,1314195195.69
101,10.7109670639,1314195219.76
102,17.1545488834,1314195239.98
103,18.4715428352,1314195264.23
104,20.3756468296,1314195282.73
105,24.7530009747,1314195303.13
106,17.1969938278,1314195327.89
107,21.2843220234,1314195345.1
108,20.6406729221,1314195366.4
109,21.2426819801,1314195387.08
110,26.3234050274,1314195408.37
111,22.400755167,1314195434.7
112,18.3666069508,1314195457.12
113,4.26945185661,1314195475.49
114,16.5002989769,1314195494.64
115,6.62444186211,1314195516.02
116,22.1768260002,1314195536.2
117,21.9326341152,1314195562.71
118,22.418405056,1314195584.64
119,20.2657210827,1314195607.08
120,14.5662519932,1314195630.28
121,10.9953119755,1314195651.49
122,3.16654109955,1314195669.21
123,21.7830150127,1314195684.84
124,21.0363888741,1314195707.09
125,16.3789088726,1314195731.48
126,22.2791979313,1314195747.86
127,21.4799370766,1314195773.62
128,14.9667720795,1314195795.11
